nohup: ignoring input
Total docs (missing docs only): 2255299
Processed 2000/2255299 (0.09%) | 4044.0 docs/s | ETA 00:09:17
Processed 4000/2255299 (0.18%) | 4053.8 docs/s | ETA 00:09:15
Processed 6000/2255299 (0.27%) | 3960.4 docs/s | ETA 00:09:27
Processed 8000/2255299 (0.35%) | 3971.7 docs/s | ETA 00:09:25
Processed 10000/2255299 (0.44%) | 3996.6 docs/s | ETA 00:09:21
Processed 12000/2255299 (0.53%) | 4036.2 docs/s | ETA 00:09:15
Processed 14000/2255299 (0.62%) | 3795.0 docs/s | ETA 00:09:50
Processed 16000/2255299 (0.71%) | 3871.5 docs/s | ETA 00:09:38
Processed 18000/2255299 (0.80%) | 3934.7 docs/s | ETA 00:09:28
Processed 20000/2255299 (0.89%) | 3978.5 docs/s | ETA 00:09:21
Committed intermediate batch
Processed 22000/2255299 (0.98%) | 3612.9 docs/s | ETA 00:10:18
Processed 24000/2255299 (1.06%) | 3677.9 docs/s | ETA 00:10:06
Processed 26000/2255299 (1.15%) | 3743.9 docs/s | ETA 00:09:55
Processed 28000/2255299 (1.24%) | 3788.9 docs/s | ETA 00:09:47
Processed 30000/2255299 (1.33%) | 3795.4 docs/s | ETA 00:09:46
Processed 32000/2255299 (1.42%) | 3806.3 docs/s | ETA 00:09:44
Processed 34000/2255299 (1.51%) | 3821.3 docs/s | ETA 00:09:41
Processed 36000/2255299 (1.60%) | 3827.6 docs/s | ETA 00:09:39
Processed 38000/2255299 (1.68%) | 3824.8 docs/s | ETA 00:09:39
Processed 40000/2255299 (1.77%) | 3831.9 docs/s | ETA 00:09:38
Committed intermediate batch
Processed 42000/2255299 (1.86%) | 3650.0 docs/s | ETA 00:10:06
Processed 44000/2255299 (1.95%) | 3670.4 docs/s | ETA 00:10:02
Processed 46000/2255299 (2.04%) | 3700.7 docs/s | ETA 00:09:56
Processed 48000/2255299 (2.13%) | 3721.3 docs/s | ETA 00:09:53
Processed 50000/2255299 (2.22%) | 3736.4 docs/s | ETA 00:09:50
Processed 52000/2255299 (2.31%) | 3755.4 docs/s | ETA 00:09:46
Processed 54000/2255299 (2.39%) | 3774.8 docs/s | ETA 00:09:43
